google_url,establishment_url,scraped_item,ingredients,combined_score,attribute_scores
'https://maps.google.com/?cid=13601263010284293960','https://www.foreigngrilltx.com/',ukraninan borsh,"vegetables, meat, sour cream, broth, beets, pampushky",0.8045057,"{'name': np.float32(0.55989724), 'ingredient_1': np.float32(0.6431048), 'ingredient_2': np.float32(0.82751155), 'ingredient_3': np.float32(0.5302396)}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',the borscht that made the belt famous,cold beet borscht w sour cream,0.67150474,"{'name': np.float32(1.0000005), 'ingredient_1': np.float32(0.54039645), 'ingredient_2': np.float32(0.9999999), 'ingredient_3': np.float32(0.55230796)}"
'https://maps.google.com/?cid=13601263010284293960','https://www.foreigngrilltx.com/',eastern european sour cabbage,cabbage,0.59651554,"{'name': np.float32(0.4693261), 'ingredient_1': np.float32(0.48928946), 'ingredient_2': np.float32(1.0000005), 'ingredient_3': np.float32(0.5581182)}"
'https://maps.google.com/?cid=13601263010284293960','https://www.foreigngrilltx.com/',beef samsa,"beef, onions",0.5812107,"{'name': np.float32(0.4081288), 'ingredient_1': np.float32(1.0000002), 'ingredient_2': np.float32(0.54039645), 'ingredient_3': np.float32(0.81936026)}"
'https://maps.google.com/?cid=17197490583148868555','https://www.epasha.com/menus/main-courses.html',green salad,"lettuce, pickled red cabbage, romaine lettuce, lemon, onions, cucumbers, carrots, olive oil, tomatoes, cabbage",0.57237136,"{'name': np.float32(0.4693261), 'ingredient_1': np.float32(0.48928946), 'ingredient_2': np.float32(1.0000005), 'ingredient_3': np.float32(0.86148614)}"
'https://maps.google.com/?cid=4902502522606942362','https://www.jbarmbbq.com/menus/',stuffed baked potato,"pork ribs, butter, house made sausage, pulled pork, green onion, brisket, jalapeño cheddar sausage, shredded cheddar cheese, chicken, sour cream, turkey",0.56699795,"{'name': np.float32(0.4313128), 'ingredient_1': np.float32(1.0000002), 'ingredient_2': np.float32(0.4998961), 'ingredient_3': np.float32(1.0000002)}"
'https://maps.google.com/?cid=6333958978982575875','https://www.rielhtx.com/',pierogies,"onion, caramelized, potato, cheddar",0.56696874,"{'name': np.float32(0.3656307), 'ingredient_1': np.float32(0.5207848), 'ingredient_2': np.float32(0.52984303), 'ingredient_3': np.float32(1.0000005)}"
'https://maps.google.com/?cid=17208560010285338385','http://places.singleplatform.com/polish-food-store--deli/menu?ref=google',rosol with dumplings,"seasonal vegetables, vermicelli, chicken noodle soup",0.56601095,"{'name': np.float32(0.46339133), 'ingredient_1': np.float32(1.0000002), 'ingredient_2': np.float32(0.57063574), 'ingredient_3': np.float32(0.5302396)}"
'https://maps.google.com/?cid=13601263010284293960','https://www.foreigngrilltx.com/',chicken/potato samsa,"potatoes, chicken, onions",0.56308115,"{'name': np.float32(0.39418924), 'ingredient_1': np.float32(1.0000002), 'ingredient_2': np.float32(0.52535415), 'ingredient_3': np.float32(0.8267008)}"
'https://maps.google.com/?cid=4902502522606942362','https://www.jbarmbbq.com/menus/',spicy j-bar-m benedict,"poached egg, cilantro, avocado spread, pulled pork, texas toast, tomatillo salsa, pickled onion, chopped brisket",0.56307423,"{'name': np.float32(0.41989943), 'ingredient_1': np.float32(0.99999994), 'ingredient_2': np.float32(0.49969953), 'ingredient_3': np.float32(1.0000002)}"
